yyyy,mm,Location,Zone,,Fish,number,size,largest.dhufish,largest.dhufish.kg,Reference
1895,11,Safety Bay,,,Schnapper industry,,,,0,18951102WA
1896,12,Safety Bay,,,Schnapper industry,,,,0,18961225WM
1904,7,Perth region,,,jewfish,,,28,12.700576,19040720WA
1904,,"20 mile steam north-east,offshore or nearshore north",1,,,,,18,8.164656,19040504TM
1904,,25 mile steam from fremantle,,,jewfish ,,,40,18.14368,19040706WA
1906,,cottesloe beach ,,,jewfish ,,,26,11.793392,19060224DN
1908,,SW cape of rottnest,4,,jewfish and schnapper,,,30,13.60776,19080107WA
1908,4,4-mile buoy on Halls Bank,3,boat,jewfish,1,4 lb,4,1.814368,19080403DN
1908,,Five Fathom Bank,8,boat,jewfish,,largest 75 lb,75,34.0194,19080327DN
1908,,Stragglers,6,boat,jewfish,,part of 100lb catch,,0,19080131DN
1908,,"Rottnest Island, 1 mile south-east",4,,jewfish,4,8lb to 18lb,18,8.164656,19080320DN
1908,,4-mile buoy on Halls Bank,,boat,schnapper,2,,,0,19080403DN
1908,,Five Fathom Bank,,boat,schnapper,,,,0,19080327DN
1908,,"Garden Island, east side",,boat,schnapper,several,largest 12lb & 18 lb,,0,19080131DN
1908,,off Garden Island,,boat,schnapper,some,up to 10lb,,0,19080320DN
1908,,off Garden Island,,boat,schnapper,10,up to 4lb,,0,19080320DN
1908,,Owens Anchorage,,boat,schnapper,8,1.5 lb to 3 lb,,0,19080320DN
1908,,Stragglers,,boat,schnapper,,part of 100lb catch,,0,19080131DN
1908,,North Mole,,,schnapper,7,,,0,19080403DN
1908,,"Rottnest Island, 1 mile south-east",,,schnapper,5,averaging 6 lb,,0,19080320DN
1910,,"Fremantle, Halls Bank",,,"good for schnapper, jewfish and groper. Where cattle ships clean after discharging livestock",,cod of over 20 lb,,0,19101224WM
1910,,Five Fathom Bank,8,boat,jewfish,20 fish mixed catch,15-25 lb,25,11.3398,19100409WA
1910,,"Mandurah, six-mile reef",10,boat,jewfish,2,"largest 41.5 lb, part of 324 lb catch",41.5,18.824068,19100104WA
1910,,Five Fathom Bank,,boat,schnapper,20 fish mixed catch,5-25 lb,,0,19100409WA
1910,,"Mandurah, six-mile reef",,boat,schnapper,part of 324 lb mixed catch,largest 28.5 lb,,0,19100104WA
1911,,Carnac Is area,6,boat,jewfish,,"largest 18 lb, 14 lb & 11 lb. Part of 122 lb catch. ",18,8.164656,19110211WM
1911,,"Rottnest Island, west of",4,boat,jewfish,,largest 37.5 lb,37.5,17.0097,19110211WM
1911,,"Fremantle, Halls Bank",3,,jewfish,several,largest 14 lb,14,6.350288,19110909WM
1911,,"Rottnest Island, south side",4,,jewfish,several,"largest 38 lb, 26 lb, 23 lb",38,17.236496,19110909WM
1911,,"Rottnest Island, West End",4,,jewfish,1,16 lb,16,7.257472,19110401WA
1911,,Carnac Is area,,boat,schnapper,,"largest 27.5 lb, part of 122 lb catch",,0,19110211WM
1911,,"Fremantle, Halls Bank",,boat,schnapper,,14 lb & others over 10 lb,,0,19110506WA
1911,,"Fremantle, Halls Bank area",,boat,schnapper,,4.5 lb,,0,19110325WM
1911,,"Fremantle, South Beach",,shore,schnapper,among five dozen mixed fish,3 lb,,0,19110325WM
1911,,"Marmion, North Beach",,shore,schnapper,35,largest 34.5 lb,,0,19110211WM
1911,,"Marmion, North Beach",,shore,schnapper,1,16 lb,,0,19110909WM
1911,,"Fremantle, North Mole",,,schnapper,1,4.5 lb,,0,19110909WM
1911,,"Fremantle, the old sea jetty",,,schnapper,,small,,0,19110325WM
1911,,"Rockingham, Penguin Island",,,schnapper,15,averaging 6 lb to 7 lb,,0,19110325WM
1911,,"Rottnest Island, West End",,,schnapper,9,largest 14 lb,,0,19110401WA
1912,,"Rottnest Island, West End",,?,groper,3,largest 22 lb,,0,19120129WA
1912,,"Rottnest Island, West End",,?,groper,1,36 lb (part of 137 lb catch),,0,19120518WA
1912,,"Carnac Island, Challenger Passage",,boat,groper,1,9 lb (part of 148 lb catch),,0,19120713WM
1912,,"Carnac Island, Challenger Passage",,boat,groper,1,"9 lb, part of 148 lb catch",,0,19120713WM
1912,,Rockingham,9,?,jewfish,1,22 lb,22,9.979024,19120518WA
1912,,"Rottnest Island, West End",4,?,jewfish,4,largest 12 lb,12,5.443104,19120129WA
1912,,"Rottnest Island, West End",4,?,jewfish,2,part of 137 lb catch,,0,19120518WA
1912,,South-west passage,4,?,jewfish,2,part of 70 lb catch,,0,19120129WA
1912,,Carnac Is area,6,boat,jewfish,6,0.25 cwt (part of 2 cwt catch),28,12.700576,19120518WA
1912,,Carnac Island area,6,boat,jewfish,4,"largest 22 lb, part of 190 lb catch",22,9.979024,19120720WM
1912,,Carnac Island area,6,boat,jewfish,1,16 lb,16,7.257472,19121115WM
1912,,Challenger Passage,6,boat,jewfish,,,,0,19121115WM
1912,,Corsair Rocks,,boat,jewfish,,in a 1 cwt catch,,0,19120504WA
1912,,Five Fathom Bank,8,boat,jewfish,6,largest 16 lb,16,7.257472,19121115WM
1912,,Five Fathom Bank,8,boat,jewfish,1,22 lb,22,9.979024,19121227WM
1912,,Five Fathom Bank area,8,boat,jewfish,several,up to 16lb,16,7.257472,19120504WA
1912,,"Rockingham, Safety Bay",10,boat,jewfish,16,up to 35 lb (part of 4 cwt catch in 3 days),35,15.87572,19120518WA
1912,,"Rottnest Island, Bathurst Point area",4,boat,jewfish,1,10 lb,10,4.53592,19120713WM
1912,,"Rottnest Island, West End",4,boat,jewfish,1,11.5 lb,11.5,5.216308,19120217WM
1912,,south-west channel,4,boat,jewfish,1,21 lb,21,9.525432,19120217WM
1912,,South-west passage,4,boat,jewfish,5,largest 27 lb,27,12.246984,19120518WA
1912,,Carnac Island,6,,jewfish,2,"28 lb, 22 lb, part of 129 lb catch",28,12.700576,19120316WM
1912,,Carnac Island,6,,jewfish,5,largest 16 lb,16,7.257472,19120316WM
1912,,"Carnac Island, Challenger Passage",6,,jewfish,,up to 26 lb,26,11.793392,19121122WM
1912,,Rockingham jetty,9,,jewfish,4,largest 14.5 lb,14.5,6.577084,19120316WM
1912,,"Rockingham, Safety Bay",10,,jewfish,described as abundant,,,0,19120129WA
1912,,"Rockingham, Safety Bay",10,,jewfish,19,"largest 39 lb, part of 4 cwt catch",39,17.690088,19120316WM
1912,,"Rockingham, Safety Bay area",10,,jewfish,1,51 lb,51,23.133192,19120713WM
1912,,"Rockingham, Safety Bay area",10,,jewfish,3,"35 lb, 40 lb, 51 lb",51,23.133192,19120713WM
1912,,"Rottnest Island, Bathurst Point",4,,jewfish,1,10 lb,10,4.53592,19120713WM
1912,,"Rottnest Island, West End (south)",4,,jewfish,,part of 2cwt commercial catch,,0,19120504WA
1912,,"south-west passage, near Cape Vlamingh",4,,jewfish,9,up to 15 lb,15,6.80388,19120316WM
1912,,Swan River,,,jewfish,7,largest 14lb,14,6.350288,19120504WA
1912,,"Marmion, North Beach-Trigg",,beach,john dory,part of 14 dozen catch,,,0,19120504WA
1912,,Robbs Jetty,,,john dory,,,,0,19120316WM
1912,,V jetty,,,kingfish,1,12lb,,0,19120504WA
1912,,the islands' (Perth area),,boat,kingfish (spanish mackerel),1,35 lb,,0,19120518WA
1912,,Carnac Is area,,boat,mixed catch,,2 cwt total in 2 days,,0,19120518WA
1912,,off Rottnest Is,,?,schnapper,3 cwt in five hours,up to 24 lb,,0,19120518WA
1912,,Rockingham,,?,schnapper,3,largest 8.5 lb,,0,19120518WA
1912,,"Rottnest Island, West End",,?,schnapper,4,part of 137 lb catch,,0,19120518WA
1912,,South-west passage,,?,schnapper,5,part of 70 lb catch,,0,19120129WA
1912,,Carnac Island area,,boat,schnapper,9,part of 190 lb catch,,0,19120720WM
1912,,Carnac Island area,,boat,schnapper,5,averaging 9 lb,,0,19121115WM
1912,,"Carnac Island, Challenger Passage",,boat,schnapper,1,10 lb (part of 148 lb catch),,0,19120713WM
1912,,"Carnac Island, Challenger Passage",,boat,schnapper,1,"10 lb, part of 148 lb catch",,0,19120713WM
1912,,Challenger Passage,,boat,schnapper,3,12lb to 16lb,,0,19121115WM
1912,,Corsair Rocks,,boat,schnapper,,in a 1 cwt catch,,0,19120504WA
1912,,Five Fathom Bank,,boat,schnapper,20,up to 17.5lb,,0,19121115WM
1912,,Five Fathom Bank,,boat,schnapper,2,9 lb & 10.5 lb,,0,19121122WM
1912,,Five Fathom Bank,,boat,schnapper,1,nearly 22 lb,,0,19121227WM
1912,,Five Fathom Bank area,,boat,schnapper,several,up to 12lb,,0,19120504WA
1912,,"Fremantle, Halls Bank",,boat,schnapper,1,17 lb,,0,19120316WM
1912,,"Fremantle, Halls Bank",,boat,schnapper,32 dozen mixed catch,9 lb,,0,19120720WM
1912,,"Fremantle, Halls Bank",,boat,schnapper,6,largest 4 lb,,0,19121122WM
1912,,"Marmion, Little Island",,boat,schnapper,1,6 lb,,0,19120518WA
1912,,"Marmion, Trigg Island area",,boat,schnapper,3,largest 7.5 lb,,0,19120129WA
1912,,Robbs Jetty area,,boat,schnapper,4,,,0,19121122WM
1912,,"Rockingham, Cockburn Sound",,boat,schnapper,1,8 lb,,0,19121122WM
1912,,"Rockingham, Safety Bay",,boat,schnapper,39,up to 24.5 lb (part of 4 cwt catch in 3 days),,0,19120518WA
1912,,south-west channel,,boat,schnapper,7,total 93 lb,,0,19120217WM
1912,,South-west passage,,boat,schnapper,3,average 12 lb,,0,19120518WA
1912,,the islands' (Perth area),,boat,schnapper,8,5-15 lb,,0,19120518WA
1912,,the islands' (Perth area),,boat,schnapper,2,17.5 lb & 10 lb (part of 2 cwt catch),,0,19120713WM
1912,,"Marmion, Trigg Island-North Beach",,shore,schnapper,1,13.5 lb,,0,19120217WM
1912,,Carnac Island,,,schnapper,3,"largest 14 lb, part of 129 lb catch",,0,19120316WM
1912,,Carnac Island,,,schnapper,7,largest 12.5 lb,,0,19120316WM
1912,,"Carnac Island, Challenger Passage",,,schnapper,,nearly 26 lb,,0,19121122WM
1912,,"Carnac Island, Challenger Passage",,,schnapper,16,"largest 23 lb, part of 2 cwt catch",,0,19121227WM
1912,,Corsair Rocks,,,schnapper,22,some up to 17 lb,,0,19121227WM
1912,,Five Fathom Bank,,,schnapper,good catches,,,0,19121115WM
1912,,"Fremantle, Halls Bank",,,schnapper,1,9 lb,,0,19120518WA
1912,,"Fremantle, Long Jetty",,,schnapper,1,5 lb,,0,19120316WM
1912,,Rockingham jetty,,,schnapper,1,13 lb,,0,19120316WM
1912,,"Rockingham, Safety Bay",,,schnapper,described as abundant,,,0,19120129WA
1912,,"Rockingham, Safety Bay",,,schnapper,,up to 22 lb,,0,19120217WM
1912,,"Rockingham, Safety Bay",,,schnapper,34,part of 4 cwt catch,,0,19120316WM
1912,,"Rockingham, Safety Bay",,,schnapper,commercial catch,up to 19lb,,0,19120504WA
1912,,"Rockingham, Safety Bay",,,schnapper,5,,,0,19121227WM
1912,,"Rockingham, Safety Bay area",,,schnapper,,up to 22 lb,,0,19120713WM
1912,,"Rottnest Island, West End (south)",,,schnapper,,part of 2cwt commercial catch,,0,19120504WA
1912,,"Rottnest Island, West End (south)",,,schnapper,3,largest 8lb,,0,19120504WA
1912,,south of Garden Island,,,schnapper,9,up to 16 lb,,0,19120129WA
1912,,"south-west passage, near Cape Vlamingh",,,schnapper,6,,,0,19120316WM
1912,,Straggler Reefs,,,schnapper,2,8 lb & 11 lb,,0,19120518WA
1912,,Trigg Island,,,schnapper,good catches,,,0,19121115WM
1912,,Challenger Passage to Safety Bay,,,schnapper & jewfish,professional report both 'numerous' in this area,,,0,19121122WM
1913,,"Carnac Island, Challenger Passage",,,jewfish,5,,,0,19130418WM
1913,,"Fremantle, Halls Bank",,boat,schnapper,4 (part of 126 dozen catch),largest 8 lb,,0,19130418WM
1913,,Carnac Island area,,,schnapper,8,between 10 lb & 16 lb,,0,19131219WM
1913,,"Carnac Island, Challenger Passage",,,schnapper,6,,,0,19130418WM
1913,,"Fremantle, North Mole",,,schnapper,5,between 7 lb & 14 lb,,0,19131219WM
1913,,Corsair Rocks,,,schnapper & jewfish,fairly numerous,,,0,19130418WM
1913,,Five Fathom Bank,,,schnapper & jewfish,fairly numerous',,,0,19130418WM
1913,,"Rockingham, Safety Bay",,,schnapper & jewfish,fairly numerous',,,0,19130418WM
1913,,"Rockingham, Safety Bay area",,,schnapper & jewfish,22 fish mixed catch,largest 32 lb schnapper,,0,19130214WM
1914,,"Five Fathom Bank, Orizaba",8,boat,jewfish,4,one of 16 lb (part of approx 1.5 cwt catch),16,7.257472,19140501WM
1914,,Mandurah area,10,boat,jewfish,,8 lb to 32 lb,32,14.514944,19140501WM
1914,,"Carnac Island, Challenger Passage",6,,jewfish,1,24 lb,24,10.886208,19141106WM
1914,,Elbow Buoy,,,jewfish,1,24 lb,24,10.886208,19141106WM
1914,,Five Fathom Bank,8,,jewfish,several',up to 24 lb,24,10.886208,19141106WM
1914,,"Fremantle, Fish Rock",7,,jewfish,1,10 lb,10,4.53592,19140426ST
1914,,Mandurah area,10,,jewfish,1,30 lb,30,13.60776,19140501WM
1914,,"Marmion, Trigg Island area",3,,jewfish,3,,,0,19141106WM
1914,,"Five Fathom Bank, Orizaba",,boat,schnapper,9,part of approx 1.5 cwt catch,,0,19140501WM
1914,,"Fremantle, Halls Bank",,boat,schnapper,several,largest 8.5 lb,,0,19140501WM
1914,,Mandurah area,,boat,schnapper,,up to 12 lb,,0,19140501WM
1914,,"Carnac Island, Challenger Passage",,,schnapper,5,ranging from 12 lb to 18 lb,,0,19141106WM
1914,,Elbow Buoy,,,schnapper,couple,about 15 lb,,0,19141106WM
1914,,Five Fathom Bank,,,schnapper,20,ranging from 12 lb to 16 lb,,0,19141106WM
1914,,"Marmion, Trigg Island area",,,schnapper,7,,,0,19141106WM
1915,6,"Rockingham, South Channel",8,boat,jewfish,3,averaging 18 lb,,0,19150625WM
1915,,Straggler Reefs,6,boat,jewfish,1,16 lb,16,7.257472,19150625WM
1915,,"Carnac Island, Challenger Passage",6,,jewfish,3,,,0,19151112WM
1915,,Five Fathom Bank,8,,jewfish,3,part of 200 lb catch,,0,19151112WM
1915,,"Rockingham, Murray Reefs",10,,jewfish,1,27 lb,27,12.246984,19151210WM
1915,,"Rockingham, Shoalwater Bay",10,,jewfish,1,16 lb,16,7.257472,19150924WM
1915,4,"Rockingham, Shoalwater Bay area",10,,jewfish,,over 18 lb,18,8.164656,19150423WM
1915,12,"Rockingham, South Channel area",10,,jewfish,,up to 20 lb,20,9.07184,19151210WM
1915,,"Marmion, Trigg Island area",,boat,schnapper,16,8 lb to 14 lb,,0,19151210WM
1915,6,"Rockingham, South Channel",,boat,schnapper,14,total 128 lb,,0,19150625WM
1915,,Straggler Reefs,,boat,schnapper,2,14 lb & 8 lb,,0,19150625WM
1915,,"Carnac Island, Challenger Passage",,,schnapper,11,largest 16 lb,,0,19151112WM
