"","iteration","deviance_explained","aic","s_distance_p_value","s_yyyyinshore_p_value","s_yyyynearshore_p_value"
"s(distance)",1,0.157914420467062,4946.34544055567,0.0209808857723428,0,4.5040541690744e-06
"s(distance)1",2,0.159750575474928,4944.57654754493,0.0993987283755332,0,0.000102719265712203
"s(distance)2",3,0.161982169928662,4943.45320667101,0.0111920423414036,0,0
"s(distance)3",4,0.164139325873886,4941.44893591573,0.0419606532518683,0,0
"s(distance)4",5,0.158573939507855,4946.63501999508,0.0447048287447168,0,1.91796302434488e-06
"s(distance)5",6,0.158048326875392,4946.77893873192,0.0134047549604522,0,8.86964939161849e-07
"s(distance)6",7,0.160270875805118,4943.77996197213,0.090702644989097,0,0.000141132747360162
"s(distance)7",8,0.164007768017973,4940.3363142507,0.028916637227874,0,0.00063873555578664
"s(distance)8",9,0.158315395036017,4945.5785884336,0.0356444606172215,0,2.66952822181032e-07
"s(distance)9",10,0.160909493468868,4944.03691960428,0.0348280559934976,0,1.58608092715173e-06
"s(distance)10",11,0.157516490511563,4946.53075648746,0.0963394718338484,0,1.40092924266755e-06
"s(distance)11",12,0.160675366194794,4942.97849185037,0.131867546134857,0,6.8385323235276e-06
"s(distance)12",13,0.161643097879204,4943.95706787427,0.00759634863740294,0,1.33052961232005e-06
"s(distance)13",14,0.162180923569762,4941.29357549914,0.03704904730151,0,8.47251591609144e-05
"s(distance)14",15,0.161626590118884,4941.85990988529,0.0435555807618287,0,6.21525282491486e-05
"s(distance)15",16,0.156554431420829,4946.29625607408,0.0115106871886839,0,0
"s(distance)16",17,0.154876058384297,4949.26392339136,0.105997043931602,0,1.18693845685414e-06
"s(distance)17",18,0.165102589584492,4939.66983292884,0.0775079656990103,0,0.000209802732047071
"s(distance)18",19,0.164621270408829,4939.9819505332,0.0115671166167075,0,0
"s(distance)19",20,0.15930911124301,4944.47335607783,0.0470357752656183,0,1.65550583114404e-06
"s(distance)20",21,0.168423973170704,4936.66878676088,0.0148450984523399,0,0.00024994915824611
"s(distance)21",22,0.166238859785592,4939.091910957,0.0268273073030132,0,4.87108699376293e-07
"s(distance)22",23,0.161273827851923,4941.62582721039,0.0173417546947521,0,3.78853397735024e-05
"s(distance)23",24,0.167558095182041,4934.81913947453,0.0394690153082208,0,2.00178973186471e-06
"s(distance)24",25,0.162165455286074,4943.49506137461,0.0212973415978619,0,2.44737329541111e-05
"s(distance)25",26,0.163104357277011,4941.05612298139,0.0222251151254796,0,7.64098696870441e-07
"s(distance)26",27,0.158827303151638,4944.47148501957,0.0335775052893043,0,7.79672029034284e-05
"s(distance)27",28,0.156694266604302,4946.4211702571,0.0444272954919918,0,9.84608420351307e-07
"s(distance)28",29,0.16117965671604,4943.75949597304,0.0140717519880853,0,3.33974534089121e-06
"s(distance)29",30,0.16287450371686,4940.14246031403,0.028153150119504,0,0
"s(distance)30",31,0.163266933734157,4940.64863558879,0.0528126673253691,0,0
"s(distance)31",32,0.165012369031778,4940.11975509558,0.0252098592313988,0,4.49901712551437e-07
"s(distance)32",33,0.155241487348526,4947.4638177282,0.068231900714589,0,4.00101751735216e-06
"s(distance)33",34,0.164188025311114,4940.98115479915,0.01474451455292,0,7.14478601171464e-07
"s(distance)34",35,0.161496598457704,4943.14907797516,0.110855446849207,0,1.76995809658687e-06
"s(distance)35",36,0.16479467857366,4940.15452663124,0.0164662597129149,0,5.32483115011084e-05
"s(distance)36",37,0.165289760808933,4937.75433560546,0.0537678344637764,0,8.83875168611326e-07
"s(distance)37",38,0.154575568650743,4949.51668744027,0.162565341786013,0,5.04170558957018e-06
"s(distance)38",39,0.161931309306948,4942.49313844577,0.020041062220049,0,2.20205228246284e-06
"s(distance)39",40,0.162255037386351,4942.34173141497,0.0191553198523042,0,2.23340787017801e-05
"s(distance)40",41,0.162198666576748,4943.63350593635,0.0191680227181079,0,1.26072019901446e-06
"s(distance)41",42,0.167571004540849,4938.20737969018,0.00443412940510213,0,1.91881636073532e-05
"s(distance)42",43,0.163413928529993,4942.00495599284,0.0168465049636558,0,2.19683242000945e-05
"s(distance)43",44,0.162486980997062,4941.97614202619,0.0239290809893341,0,3.4832864799661e-05
"s(distance)44",45,0.166806619781735,4937.36511826183,0.0235654013941838,0,1.36296616033427e-05
"s(distance)45",46,0.158161861285993,4945.53502361647,0.029160185078331,0,1.48299336240054e-05
"s(distance)46",47,0.153901330121534,4949.95729892836,0.0552573306934053,0,0
"s(distance)47",48,0.167057228622062,4936.50762463426,0.0117151029460404,0,8.60982626282869e-06
"s(distance)48",49,0.156958927368375,4947.02968763342,0.0784331922308472,0,0
"s(distance)49",50,0.162521724254308,4939.49227516628,0.0190147050157639,0,3.27533046530215e-05
"s(distance)50",51,0.154969363967042,4949.34007606566,0.0812115290664268,0,0
"s(distance)51",52,0.161242325695467,4944.98018418631,0.0219338360839898,0,0
"s(distance)52",53,0.159491110837746,4944.85388621081,0.0286005284665435,0,1.6278572838202e-05
"s(distance)53",54,0.153562206129365,4951.20904207334,0.174543377116211,0,1.73150734567029e-06
"s(distance)54",55,0.168343978674802,4935.45607116871,0.0465556291564261,0,3.44105310261522e-05
"s(distance)55",56,0.160023374162854,4942.38387449372,0.0399631898087832,0,6.81015308645616e-07
"s(distance)56",57,0.161247875844368,4940.66381170422,0.0304236020911606,0,6.25926297668222e-05
"s(distance)57",58,0.158866760293823,4945.32450898888,0.072968150286138,0,4.35848367797975e-05
"s(distance)58",59,0.158994040672536,4945.43415927121,0.0869061954396844,0,4.70993444967593e-07
"s(distance)59",60,0.166369823009153,4937.25520756519,0.0332056795096579,0,1.31622338012116e-06
"s(distance)60",61,0.162565126304081,4942.28210829715,0.0491499346009195,0,1.77299284698229e-06
"s(distance)61",62,0.162790269009193,4942.30545082208,0.0345276752351066,0,5.32208168346759e-06
"s(distance)62",63,0.165390224003936,4939.44935886892,0.114299412446417,0,0.00018326753983261
"s(distance)63",64,0.168783209473066,4936.09639531972,0.00645527856401884,0,0.000762187219702171
"s(distance)64",65,0.15643581689601,4947.87829527504,0.154357474045639,0,1.85512302741664e-07
"s(distance)65",66,0.164397985731807,4938.72628386992,0.0236935445731303,0,0
"s(distance)66",67,0.165132158864639,4939.2607241814,0.0573168670801774,0,0
"s(distance)67",68,0.160470646285596,4942.04059711516,0.0109482509505287,0,1.92936145193556e-06
"s(distance)68",69,0.163042813647411,4942.43569447901,0.0221791364439717,0,3.15412221452149e-07
"s(distance)69",70,0.164379145503046,4940.04655202952,0.0204194487669429,0,5.57371687731067e-05
"s(distance)70",71,0.167947564121869,4937.0229832299,0.00357350042894661,0,5.86134609126265e-07
"s(distance)71",72,0.162303012560262,4942.13886921436,0.0678617285821991,0,2.70241817222905e-05
"s(distance)72",73,0.154556845012509,4949.39624953155,0.106051436575313,0,2.05558588334265e-06
"s(distance)73",74,0.15987749947847,4944.61322077567,0.0370921203196861,0,3.42400130659559e-06
"s(distance)74",75,0.162409466461374,4941.48484178681,0.0621444501288885,0,0.000387011715741292
"s(distance)75",76,0.154911622566156,4948.93381063665,0.0623888249935699,0,3.8550517672542e-06
"s(distance)76",77,0.161247579020981,4942.83176337005,0.0189183452271291,0,4.84314046521606e-05
"s(distance)77",78,0.165100013591166,4939.71518056028,0.0108757435977095,0,5.41289248778831e-06
"s(distance)78",79,0.166722877399069,4938.31030872554,0.00552639160219176,0,3.20939644848917e-06
"s(distance)79",80,0.16666566805141,4937.97227818003,0.0287557839361836,0,6.04125036718361e-07
"s(distance)80",81,0.163612598219279,4939.89263809338,0.0342830124223868,0,6.01566608804394e-07
"s(distance)81",82,0.164449892723035,4940.89163810008,0.0190842308027271,0,3.53953623832837e-06
"s(distance)82",83,0.162534785393627,4942.42085642979,0.0689059142667274,0,0
"s(distance)83",84,0.157276876351817,4946.27868100238,0.127715465850217,0,3.913149034529e-05
"s(distance)84",85,0.161891863127855,4939.83056503209,0.0393059521458655,0,0.000139369095785102
"s(distance)85",86,0.162556119815839,4942.0223251054,0.0111278146826886,0,1.50334442711175e-06
"s(distance)86",87,0.16233710316654,4942.42856587649,0.0107590726566298,0,1.91478953815993e-05
"s(distance)87",88,0.158420048916364,4945.19874945975,0.0551708082773474,0,6.09773599946628e-07
"s(distance)88",89,0.167646819100428,4936.0731301051,0.0701761118525049,0,1.84343739919601e-05
"s(distance)89",90,0.15789774144473,4943.87832760122,0.0276068832075249,0,2.62924905081174e-05
"s(distance)90",91,0.1606468402833,4944.40415171733,0.0664796892673743,0,8.02877910315858e-05
"s(distance)91",92,0.161122777233797,4943.83104471375,0.0169959077991447,0,6.13939229232585e-07
"s(distance)92",93,0.161951048595508,4943.54592630924,0.0312481649075489,0,3.81122500175968e-06
"s(distance)93",94,0.160126503725667,4944.03013895329,0.0330971496416369,0,2.89544955150989e-06
"s(distance)94",95,0.165587479029087,4936.26976256187,0.0126465434991257,0,7.07628961371665e-07
"s(distance)95",96,0.166754879277344,4937.01585980777,0.0478216943291787,0,1.18430871909325e-06
"s(distance)96",97,0.167461725111085,4937.37337266545,0.0227043077159314,0,0.000470463466988869
"s(distance)97",98,0.157534268608688,4946.30714601805,0.0521965847654424,0,1.87221843184204e-06
"s(distance)98",99,0.157107879382535,4946.93508239892,0.058766502356265,0,0
"s(distance)99",100,0.162808950625639,4943.30235233387,0.0101190711543916,0,7.83673839954702e-06
"s(distance)100",101,0.161891229519408,4940.72092648525,0.0264212158592694,0,2.37010084336298e-05
"s(distance)101",102,0.166432729773325,4937.19875235311,0.0437302701981688,0,0
"s(distance)102",103,0.161344872981371,4941.89327849431,0.0647426798052486,0,0.000488376772001364
"s(distance)103",104,0.16166882563759,4941.48373335708,0.0836165870031226,0,0
"s(distance)104",105,0.160639233817546,4943.75232775791,0.116374179339913,0,1.08818215677209e-06
"s(distance)105",106,0.16941416161865,4934.89034076671,0.0351540708832481,0,0
"s(distance)106",107,0.169026467014212,4935.35839661651,0.0256899124216617,0,3.44656794326603e-06
"s(distance)107",108,0.167690393624478,4935.64043050764,0.0268958504268599,0,4.68931391051086e-07
"s(distance)108",109,0.158428631400343,4946.16017570848,0.0547888065677616,0,1.99926909555392e-06
"s(distance)109",110,0.174837038072242,4929.33865721522,0.0161090683999435,0,8.00104837860305e-05
"s(distance)110",111,0.169856961086521,4935.36325799913,0.0238062630375878,0,0.000350801921055244
"s(distance)111",112,0.16209895804083,4941.59313645529,0.102398373917418,0,5.11018948740061e-06
"s(distance)112",113,0.166440202667203,4939.4483141834,0.00966755414512183,0,2.48403855501178e-05
"s(distance)113",114,0.156152358003553,4948.30407999267,0.034930083580214,0,4.4149720679898e-06
"s(distance)114",115,0.161849683638611,4941.85048761784,0.0244176615383703,0,0
"s(distance)115",116,0.163139603218737,4941.92114761802,0.010402867762437,0,2.58939213526599e-06
"s(distance)116",117,0.163832814109954,4940.34193899571,0.00985260004775601,0,8.93391133072186e-07
"s(distance)117",118,0.152033414766521,4952.22352030796,0.206554799271972,0,1.58351497414611e-07
"s(distance)118",119,0.157748924459972,4945.71006146037,0.083516649985704,0,4.23682383843271e-07
"s(distance)119",120,0.162139934195811,4942.00505025361,0.108980030007969,0,9.79068152612284e-06
"s(distance)120",121,0.164055500513418,4940.05710797287,0.104986951928501,0,6.26473299680796e-07
"s(distance)121",122,0.156781574614754,4944.61349300672,0.0265404892110002,0,1.47711037252196e-05
"s(distance)122",123,0.162798395494524,4943.46942851145,0.0182717791708821,0,1.89903004910175e-06
"s(distance)123",124,0.159092276215375,4945.56076132271,0.0299238339017311,0,1.08525748948041e-05
"s(distance)124",125,0.156773928024789,4947.34994463804,0.043293735095824,0,1.85065694519038e-06
"s(distance)125",126,0.157659071933114,4945.95708066956,0.0684642077105497,0,9.03852000355698e-07
"s(distance)126",127,0.155355115128317,4948.73480156977,0.0843147651865982,0,3.37262430033514e-06
"s(distance)127",128,0.165789088054355,4937.48921492178,0.0135388698672358,0,3.475524585278e-05
"s(distance)128",129,0.16022123493961,4943.66742162838,0.0858042564949697,0,5.14164291698371e-07
"s(distance)129",130,0.159383824512305,4944.36429274057,0.0380167453004706,0,4.42560847518925e-06
"s(distance)130",131,0.159408711505163,4943.50213381952,0.0609608231070134,0,5.77665548784356e-07
"s(distance)131",132,0.165515009325154,4939.27639213552,0.00791240214778699,0,6.03764212514513e-07
"s(distance)132",133,0.159153609633704,4943.58901906712,0.0541154222004531,0,8.5671634756368e-06
"s(distance)133",134,0.161789312720669,4943.57298252437,0.0231163194818499,0,8.86925950094319e-06
"s(distance)134",135,0.157435533287445,4946.73502544121,0.0426147831252228,0,7.57073773971495e-06
"s(distance)135",136,0.162192093138999,4941.43722991713,0.0205959632184561,0,7.05668739442444e-07
"s(distance)136",137,0.152824548733313,4949.89284376089,0.0776333838261261,0,1.07975779212177e-06
"s(distance)137",138,0.162187486655693,4942.32346784788,0.0463927509796953,0,1.82863883681494e-05
"s(distance)138",139,0.164694461520752,4940.18437764839,0.0105222037553491,0,7.52972021613174e-05
"s(distance)139",140,0.160452749644666,4942.26354535672,0.262921195961318,0,0
"s(distance)140",141,0.164858845771508,4939.805313201,0.00660911078700799,0,4.41024943675927e-07
"s(distance)141",142,0.158862322539168,4944.01850621415,0.0112320369607197,0,2.99158827005153e-06
"s(distance)142",143,0.158053155093785,4945.5872445366,0.0681701749939825,0,4.13442556812527e-06
"s(distance)143",144,0.160909727127576,4943.93496578369,0.0318583212817229,0,1.82903709511351e-07
"s(distance)144",145,0.157290170625503,4945.98162921268,0.0732321951184535,0,8.84351206740797e-05
"s(distance)145",146,0.156759345128552,4946.81612008181,0.0377990677445776,0,9.73522246250358e-06
"s(distance)146",147,0.162682868020695,4940.99563009511,0.0697034716822136,0,3.94774793854857e-07
"s(distance)147",148,0.160708352853169,4943.63706012602,0.170385472175407,0,5.21001475268235e-05
"s(distance)148",149,0.159788854483164,4945.13508091485,0.0322433257229463,0,3.03284339664422e-06
"s(distance)149",150,0.162632251360117,4940.81824333122,0.0718370519876615,0,1.8347245647754e-06
"s(distance)150",151,0.167586439145367,4937.18498672121,0.0712391274696593,0,0
"s(distance)151",152,0.161073261517235,4943.11293664032,0.0133977898513714,0,1.53393656860956e-05
"s(distance)152",153,0.16287831377432,4938.79268494097,0.051635933657778,0,4.07608390809444e-05
"s(distance)153",154,0.169018576738455,4934.40634354315,0.000834426660551668,0,3.94447918555807e-06
"s(distance)154",155,0.162843292871372,4941.67368711382,0.0423620733166488,0,5.57202085052499e-05
"s(distance)155",156,0.16302805994714,4941.92180331422,0.0389687145531303,0,5.19134340126737e-07
"s(distance)156",157,0.160066253780202,4944.18068185793,0.0796042863021934,0,4.38037397436086e-05
"s(distance)157",158,0.163455154798173,4942.03838207063,0.0197324464069686,0,2.93635689074812e-06
"s(distance)158",159,0.160050603926534,4943.96633034741,0.0533066318332388,0,2.6942227773441e-05
"s(distance)159",160,0.167014989713131,4937.82180790408,0.0174078789501631,0,7.52821143579219e-06
"s(distance)160",161,0.160078288640505,4944.93661363412,0.0332978077677605,0,2.83486350283191e-06
"s(distance)161",162,0.16481917349992,4938.81372475496,0.0308959275236944,0,0.000104833838123652
"s(distance)162",163,0.163936939678144,4941.00970837552,0.0556213010118241,0,1.39908946856226e-05
"s(distance)163",164,0.163307621253908,4942.06826259186,0.0378488720905341,0,3.89603214689949e-07
"s(distance)164",165,0.152279982793141,4950.35046932355,0.0342276109334088,0,1.21052657109932e-05
"s(distance)165",166,0.158736206125615,4945.209170299,0.0579739687655236,0,2.92249029043568e-06
"s(distance)166",167,0.162597057497438,4939.98436838684,0.0849063123591018,0,2.48842841504837e-06
"s(distance)167",168,0.15984183408901,4945.56765614292,0.0315539904591811,0,3.2622613451716e-06
"s(distance)168",169,0.159890459914037,4943.21112100002,0.0797454230386488,0,0.000206514280005621
"s(distance)169",170,0.159111132084089,4944.15340792232,0.0655492014974008,0,1.74162270459854e-05
"s(distance)170",171,0.160231209277721,4944.02531494909,0.0263109371950854,0,5.31100641021354e-06
"s(distance)171",172,0.156834219036553,4946.68674645746,0.135821160703733,0,1.47838793457256e-06
"s(distance)172",173,0.162085253213082,4940.78461091759,0.00281804190985951,0,6.85528951936965e-05
"s(distance)173",174,0.158346975386845,4945.40410843756,0.107608677497001,0,1.03717531069192e-06
"s(distance)174",175,0.157560158117898,4945.45838935865,0.0541149696287341,0,3.56554442772494e-05
"s(distance)175",176,0.170625857879476,4934.13765328278,0.00642080813990076,0,1.78082995871964e-06
"s(distance)176",177,0.169234063361835,4934.65258627619,0.017564789843421,0,1.52006301890051e-06
"s(distance)177",178,0.168625582332469,4935.23468782371,0.0197421465055729,0,1.20164817390411e-05
"s(distance)178",179,0.165713445622138,4938.10702187356,0.0344760094700413,0,7.37474360690271e-07
"s(distance)179",180,0.168098541240984,4934.52488231788,0.150973655161487,0,1.87394818238484e-05
"s(distance)180",181,0.161885079498038,4941.59241373446,0.076132693068064,0,6.88784050018043e-07
"s(distance)181",182,0.157423612466764,4946.14676704887,0.170374083444749,0,3.26912604449725e-05
"s(distance)182",183,0.167108865561529,4935.48184428856,0.0248385417992396,0,1.50254127734284e-06
"s(distance)183",184,0.159254075104448,4945.86096994318,0.0415681570404593,0,2.45633342421669e-06
"s(distance)184",185,0.160202545671597,4944.4597341649,0.163719197117117,0,2.10859681598619e-06
"s(distance)185",186,0.157308682272534,4947.40333207528,0.0667191111037163,0,5.12317175183075e-07
"s(distance)186",187,0.165246428067779,4940.06591860481,0.0068038897438924,0,5.22251815432417e-06
"s(distance)187",188,0.165348445053679,4939.3275876474,0.0426247958402763,0,0.000115706610973265
"s(distance)188",189,0.163123831346093,4941.22515112159,0.0103083427016851,0,9.30996198654221e-05
"s(distance)189",190,0.161309971243393,4944.37750214174,0.018405879658303,0,5.04105886978135e-07
"s(distance)190",191,0.164277931271168,4941.52824233476,0.0149321134876986,0,3.74966914684638e-07
"s(distance)191",192,0.165347029941277,4938.63965468821,0.0334315687071088,0,7.36828380143439e-07
"s(distance)192",193,0.172012900638385,4931.8455410373,0.0520338721595241,0,0
"s(distance)193",194,0.159131170127791,4945.59266066924,0.0360195917796816,0,2.16998651929035e-05
"s(distance)194",195,0.159466707434832,4944.11994871357,0.0608031780725492,0,6.8313682554666e-06
"s(distance)195",196,0.160794500215692,4944.5847376463,0.0157985146319214,0,1.23566166171374e-06
"s(distance)196",197,0.164629796587105,4941.61455889054,0.022376988534515,0,0
"s(distance)197",198,0.15892942653719,4944.87648497545,0.0484373025165163,0,1.35298547060403e-06
"s(distance)198",199,0.16408172453714,4940.172486101,0.0103776811463906,0,0
"s(distance)199",200,0.160768669744497,4944.68863494476,0.041425447453217,0,4.68678709752979e-06
"s(distance)200",201,0.165647105374104,4940.41260684508,0.034195331609394,0,8.40647951028117e-07
"s(distance)201",202,0.155322025469739,4948.58075038486,0.078058561446201,0,1.10173938971947e-06
"s(distance)202",203,0.163635938009903,4939.69487368248,0.0501287819466915,0,1.98965700152764e-05
"s(distance)203",204,0.155857602671453,4948.54255581278,0.140683286028241,0,1.81521271081508e-05
"s(distance)204",205,0.162837765277577,4939.45744490043,0.0648752396751927,0,1.83798643582644e-07
"s(distance)205",206,0.161210955177959,4942.36267632881,0.0904480785226113,0,7.55233173613257e-05
"s(distance)206",207,0.168363630299709,4935.61575257131,0.0463483947230346,0,0.000106408448012352
"s(distance)207",208,0.160530211847439,4944.46888916791,0.0435406464922026,0,4.39211730540734e-06
"s(distance)208",209,0.160528883126317,4943.19581355019,0.0690238655457519,0,4.18921544204087e-06
"s(distance)209",210,0.163585812861206,4941.64647258351,0.0156813721730141,0,2.91479901265435e-06
"s(distance)210",211,0.163805689480282,4940.63291418442,0.049606710611066,0,5.76734877993923e-06
"s(distance)211",212,0.166812412509247,4937.7783725772,0.0285902113363432,0,0
"s(distance)212",213,0.165584601033597,4938.82708037871,0.0216722290893731,0,3.6843621770144e-07
"s(distance)213",214,0.161181239242586,4943.91307311387,0.0507669469381,0,3.11190598785704e-05
"s(distance)214",215,0.162681885415299,4941.42332728175,0.0333420712336231,0,7.23544064190618e-06
"s(distance)215",216,0.17007639110653,4934.39165634431,0.0260192868482442,0,1.64152609077872e-06
"s(distance)216",217,0.158520640691502,4944.28145003902,0.1076367973292,0,1.13466339068946e-06
"s(distance)217",218,0.168157388393522,4934.30061299745,0.0441204833026048,0,5.84833746652969e-07
"s(distance)218",219,0.160393029035557,4943.0294104226,0.0889924917806338,0,0.000544990612682594
"s(distance)219",220,0.16970394990264,4934.02142299683,0.0177915384897915,0,2.12692806184078e-06
"s(distance)220",221,0.171596328255682,4932.83999576055,0.0109123493324313,0,3.70322672638146e-07
"s(distance)221",222,0.164754611885636,4938.04353679613,0.0627798417338117,0,0.000108545273391769
"s(distance)222",223,0.168642804742209,4936.32171382193,0.0253940225996974,0,0
"s(distance)223",224,0.16332117485638,4940.22224169674,0.0944636469826504,0,0
"s(distance)224",225,0.159410851846974,4944.79175983544,0.0177130310103329,0,8.87210622134149e-05
"s(distance)225",226,0.165705153108591,4939.79720346538,0.00405280774051692,0,1.04729869249143e-06
"s(distance)226",227,0.167152062974926,4936.28685425651,0.0504929846198992,0,4.55910127011849e-06
"s(distance)227",228,0.163352327405888,4940.87041490964,0.00779735259355796,0,3.07416203240152e-05
"s(distance)228",229,0.163000320619356,4940.22208251946,0.0542507030935148,0,4.78604953613182e-06
"s(distance)229",230,0.159047426213443,4945.96621859054,0.0586120599237632,0,6.04490594713347e-06
"s(distance)230",231,0.15869618286912,4945.62462918204,0.0356777997996188,0,6.88772564400031e-06
"s(distance)231",232,0.164552837252292,4938.98925652406,0.0165275056706033,0,0
"s(distance)232",233,0.160911213603598,4944.10404461937,0.012338707717424,0,0
"s(distance)233",234,0.16371194070361,4939.76290322312,0.0334455432240116,0,0
"s(distance)234",235,0.156584873448975,4947.6633952707,0.0417110876258459,0,3.01868282864826e-06
"s(distance)235",236,0.164693207277661,4938.1058216125,0.0177087092413202,0,6.21928559479956e-05
"s(distance)236",237,0.158114177015088,4946.34183720167,0.0840394890375308,0,1.134515008272e-06
"s(distance)237",238,0.164662758090351,4940.20249385711,0.0303841444684787,0,3.56328203863776e-05
"s(distance)238",239,0.160590777026621,4942.44186886988,0.178841930935011,0,0
"s(distance)239",240,0.163235137836119,4941.89879879998,0.0442165695048914,0,2.90062909266142e-05
"s(distance)240",241,0.157456419841572,4947.53926653493,0.0434381069901846,0,3.84215696930257e-06
"s(distance)241",242,0.156577321931641,4946.3736219583,0.0588942179226695,0,0.000129696875876384
"s(distance)242",243,0.159559777378081,4944.96199304554,0.0500987165988197,0,2.66233848589259e-06
"s(distance)243",244,0.162302145388117,4941.21507909395,0.137974966688679,0,1.4437699493719e-06
"s(distance)244",245,0.157733032537167,4946.21371470743,0.0232733586432924,0,1.34702029245815e-05
"s(distance)245",246,0.155712221821329,4948.29409102147,0.0981150002769336,0,1.35664876588226e-06
"s(distance)246",247,0.159673437342852,4944.09265273625,0.044120066855094,0,8.85222863881707e-05
"s(distance)247",248,0.162793758505446,4940.73008272824,0.0443001226892727,0,1.12240635702365e-06
"s(distance)248",249,0.160178749301955,4944.16103708289,0.0407605861309092,0,3.87925432110414e-07
"s(distance)249",250,0.159853739673576,4943.69563951581,0.0655644109837422,0,3.44052898115788e-07
